"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"4","2.146931","192.168.137.185","177.37.221.8","TLSv1.2","1059","Application Data","Jul  6, 2023 09:21:42.140558000 Hora oficial do Brasil","1.361432000"
"5","2.443367","192.168.137.185","52.151.239.148","TCP","66","37166  >  443 [FIN, ACK] Seq=1 Ack=1 Win=157 Len=0 TSval=494238654 TSecr=332678846","Jul  6, 2023 09:21:42.436994000 Hora oficial do Brasil","0.296436000"
"6","2.443367","192.168.137.185","52.151.239.148","TCP","66","37166  >  443 [RST, ACK] Seq=2 Ack=1 Win=157 Len=0 TSval=494238654 TSecr=332678846","Jul  6, 2023 09:21:42.436994000 Hora oficial do Brasil","0.000000000"
"7","2.452410","192.168.137.185","52.151.239.148","TCP","74","44244  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=494238680 TSecr=0 WS=512","Jul  6, 2023 09:21:42.446037000 Hora oficial do Brasil","0.009043000"
"8","2.608315","192.168.137.185","192.168.137.1","DNS","72","Standard query 0xf189 A econ.rec.net","Jul  6, 2023 09:21:42.601942000 Hora oficial do Brasil","0.155905000"
"9","2.900499","192.168.137.185","192.168.137.1","DNS","75","Standard query 0x86ec A argo.svcmot.com","Jul  6, 2023 09:21:42.894126000 Hora oficial do Brasil","0.292184000"
"10","3.305698","192.168.137.185","192.168.137.1","DNS","74","Standard query 0x6832 A g.whatsapp.net","Jul  6, 2023 09:21:43.299325000 Hora oficial do Brasil","0.405199000"
"11","3.405157","192.168.137.1","192.168.137.185","DNS","113","Standard query response 0x6832 A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 157.240.216.61","Jul  6, 2023 09:21:43.398784000 Hora oficial do Brasil","0.099459000"
"12","3.408229","192.168.137.185","192.168.137.1","DNS","76","Standard query 0x7c66 A time.android.com","Jul  6, 2023 09:21:43.401856000 Hora oficial do Brasil","0.003072000"
"13","3.415658","192.168.137.185","157.240.216.61","TCP","74","46284  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3991850759 TSecr=0 WS=512","Jul  6, 2023 09:21:43.409285000 Hora oficial do Brasil","0.007429000"
"14","3.451577","192.168.137.185","52.151.239.148","TCP","74","[TCP Retransmission] 44244  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=494239680 TSecr=0 WS=512","Jul  6, 2023 09:21:43.445204000 Hora oficial do Brasil","0.035919000"
"15","3.466894","192.168.137.185","192.168.137.1","DNS","79","Standard query 0x979d A clients3.google.com","Jul  6, 2023 09:21:43.460521000 Hora oficial do Brasil","0.015317000"
"16","3.528023","192.168.137.1","192.168.137.185","DNS","140","Standard query response 0x7c66 A time.android.com A 216.239.35.0 A 216.239.35.8 A 216.239.35.12 A 216.239.35.4","Jul  6, 2023 09:21:43.521650000 Hora oficial do Brasil","0.061129000"
"17","3.573729","157.240.216.61","192.168.137.185","TCP","74","5222  >  46284 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=2361105313 TSecr=3991850759 WS=256","Jul  6, 2023 09:21:43.567356000 Hora oficial do Brasil","0.045706000"
"18","3.575564","192.168.137.185","157.240.216.61","TCP","66","46284  >  5222 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3991850920 TSecr=2361105313","Jul  6, 2023 09:21:43.569191000 Hora oficial do Brasil","0.001835000"
"19","3.577618","192.168.137.185","216.239.35.0","NTP","90","NTP Version 3, client","Jul  6, 2023 09:21:43.571245000 Hora oficial do Brasil","0.002054000"
"20","3.611796","192.168.137.185","177.37.221.8","TCP","1059","[TCP Retransmission] 47208  >  443 [PSH, ACK] Seq=1 Ack=1 Win=162 Len=993 TSval=1807802911 TSecr=823059720","Jul  6, 2023 09:21:43.605423000 Hora oficial do Brasil","0.034178000"
"21","3.649831","192.168.137.185","157.240.216.61","TCP","70","46284  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=3991850994 TSecr=2361105313 [TCP segment of a reassembled PDU]","Jul  6, 2023 09:21:43.643458000 Hora oficial do Brasil","0.038035000"
